[LOG] System::create                           : Header version = 2.01.02. Current version = 2.01.02.
[LOG] OutputALSA::enumerate                    : Found device NAME:hdmi:CARD=NVidia,DEV=4 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:hdmi:CARD=NVidia,DEV=5 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:hdmi:CARD=NVidia,DEV=6 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:usbstream:CARD=NVidia IOID:(null).
[LOG] OutputALSA::enumerate                    : Found device NAME:sysdefault:CARD=Generic IOID:(null).
[LOG] OutputALSA::enumerate                    : Found device NAME:front:CARD=Generic,DEV=0 IOID:(null).
[LOG] OutputALSA::enumerate                    : Found device NAME:surround21:CARD=Generic,DEV=0 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:surround40:CARD=Generic,DEV=0 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:surround41:CARD=Generic,DEV=0 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:surround50:CARD=Generic,DEV=0 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:surround51:CARD=Generic,DEV=0 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:surround71:CARD=Generic,DEV=0 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:iec958:CARD=Generic,DEV=0 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:usbstream:CARD=Generic IOID:(null).
[LOG] OutputALSA::enumerate                    : Found device NAME:sysdefault:CARD=Wireless IOID:(null).
[LOG] OutputALSA::enumerate                    : Found device NAME:front:CARD=Wireless,DEV=0 IOID:(null).
[LOG] OutputALSA::enumerate                    : Found device NAME:surround21:CARD=Wireless,DEV=0 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:surround40:CARD=Wireless,DEV=0 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:surround41:CARD=Wireless,DEV=0 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:surround50:CARD=Wireless,DEV=0 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:surround51:CARD=Wireless,DEV=0 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:surround71:CARD=Wireless,DEV=0 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:iec958:CARD=Wireless,DEV=0 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:usbstream:CARD=Wireless IOID:(null).
[LOG] OutputALSA::init                         : Requested period size: 1024, Actual period size: 1024
[LOG] OutputALSA::init                         : Requested ALSA buffer size: 4096, Actual ALSA buffer size: 4096
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[WRN] FMOD_OS_Thread_Callback                  : Cannot set real-time thread priorities due to insufficient privileges
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x8000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[WRN] FMOD_OS_Thread_Callback                  : Cannot set real-time thread priorities due to insufficient privileges
[LOG] AsyncManager::init                       : manager 0x5646b6988468 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[WRN] FMOD_OS_Thread_Callback                  : Cannot set real-time thread priorities due to insufficient privileges
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[WRN] FMOD_OS_Thread_Callback                  : Cannot set real-time thread priorities due to insufficient privileges
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 134)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 134)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 134)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 6
[WRN] OutputALSA::updateMixer                  : Under-run detected in ALSA output buffer! snd_pcm_writei returned -32 = Broken pipe.
[WRN] OutputALSA::updateMixer                  : Under-run detected in ALSA output buffer! snd_pcm_writei returned -32 = Broken pipe.
[WRN] OutputALSA::updateMixer                  : Under-run detected in ALSA output buffer! snd_pcm_writei returned -32 = Broken pipe.
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] SystemI::close                           : Closed.
